term,date,time,presenter,paper,abstract,links
Spring 2020,27 Apr 2020,13:30–14:30,José Gutiérrez,"""Optimal Capital Requirements for Credit Lines"" (own work)",,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/JGA_RG_27.04.pdf"", ""label"": ""Slides""}]"
Spring 2020,01 Jun 2020,13:30–14:15,Jorge Abad,"""The impact of provisioning and capital requirements on bank behavior"" (joint work with Daisuke Ikeda)",,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/2020_06_01_abad_ikeda_RG.pdf"", ""label"": ""Slides""}]"
Winter 2020,24 Feb 2020,13:15–14:00,Joël Marbet,"Brunnermeier and Koby (2019): ""The Reversal Interest Rate""",,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/ReversalRate.pdf"", ""label"": ""Slides""}]"
Winter 2020,09 Mar 2020,16:30–17:15,José Gutiérrez,"""A Model of Credit-Line Runs"" (own work)",,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/JGA_09-03-20.pdf"", ""label"": ""Slides""}]"
Winter 2020,09 Mar 2020,17:15–18:00,Maximiliano San Millán,"""A two Country Model of Banking Flows"" (own work)",,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/Presentation_Maxi_0903.pdf"", ""label"": ""Slides""}]"
Winter 2020,16 Mar 2020,13:15–14:00,Dominic Cucic,"""Asset Trading and Fire Sales with Endogenous Liquidity Provision"" (own work)",,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/Cucic_trading_endog_liquidity.pdf"", ""label"": ""Slides""}]"
Fall 2019,28 Oct 2019,15:00–15:45,Maximiliano San Millán,"Morelli, J. M., P. Ottonello, and D. J. Perez (2019): ""Global Banks and Systemic Debt Crisis""",,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/MorelliOttonelloPerezSlides.pdf"", ""label"": ""Slides""}]"
Fall 2019,18 Nov 2019,13:15–14:00,José Gutiérrez,"""A Model of Credit-Line Runs"" (own work)",,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/JGA-5.pdf"", ""label"": ""Slides""}]"
Fall 2019,18 Nov 2019,14:00–14:45,Joël Marbet,"He, Z. and A. Krishnamurthy (2019): ""A Macroeconomic Framework for Quantifying Systemic Risk""",,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/MacroSystemicRisk.pdf"", ""label"": ""Slides""}]"
Winter 2019,04 Feb 2019,13:30–14:15,José Gutiérrez,Credit Lines and Incentive-Based Capital Requirements,,
Fall 2018,15 Oct 2018,13:30–14:15,Dominic Cucic,"Xiao, J. (2018): ""Capital Allocation and Investment Dynamics in Credit Crises""",,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/Cucic-RG-Xiao.pdf"", ""label"": ""Slides""}]"
Fall 2018,29 Oct 2018,13:30–14:15,Jorge Abad,"Gilchrist, S., and E. Zakrajšek (2012): ""Credit Spreads and Business Cycle Fluctuations""",,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/reading_group_gilchrist_zakrajsek.pdf"", ""label"": ""Slides""}]"
Fall 2018,19 Nov 2018,13:30–14:15,José Gutiérrez,"Acharya, V., Almeida, H., Ippolito, F. and Perez, A. (2014): ""Credit lines as monitored liquidity insurance: Theory and evidence""",,
Spring 2018,28 May 2018,15:00–16:00,Julio Galvez,"Galvez, J. and J. Mencía (2018): ""Distributional linkages between European sovereign bond and bank asset returns""",,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/Distributional_BankingandFinance.pdf"", ""label"": ""Slides""}]"
Winter 2018,19 Feb 2018,15:30–16:30,José Gutierrez,"Acharya, V., Almeida, H., Ippolito, F., and Perez-Orive, A (2017): ""Credit lines and the liquidity insurance channel""",,
Winter 2018,19 Mar 2018,15:00–16:00,Julio Galvez,"Crego, J. and J. Galvez (2018): ""Cyclical dependence and timing""",,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/Cyclical_long.pdf"", ""label"": ""Slides""}]"
Fall 2017,09 Oct 2017,15:30–16:30,Magdalena Rola-Janicka,"Perotti, E. and M. Rola-Janicka (2017): ""Funding Supply and Credit Quality""",,
Fall 2017,16 Oct 2017,15:30–16:30,Dominic Cucic,"Coimbra, N. and H. Rey (2017): ""Financial Cycles with Heterogeneous Intermediaries""",,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/Cucic%20-%20Discussion%20of%20Coimbra%2C%20Rey%20%282017%29.pdf"", ""label"": ""Slides""}]"
Fall 2017,06 Nov 2017,15:30–16:30,Jorge Abad,"Abad, J. and J. Suarez (2017): ""Assessing the Procyclicality of Expected Credit Loss Provisions""",,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/slides-ECL_Nov_2017_reading_group_abad.pdf"", ""label"": ""Slides""}]"
Fall 2017,13 Nov 2017,15:30–16:30,José Gutierrez,"Gersbach, H. and J. Rochet (2017): ""Capital regulation and credit fluctuations""",,
Fall 2017,20 Nov 2017,15:30–16:30,Julio Gálvez,"Gálvez, J. and J. Mencía (2015): ""Distributional linkages between European sovereign bond and bank asset returns""",,
Fall 2017,27 Nov 2017,15:30–16:30,Álvaro Remesal,"Remesal, A. (2017): ""Manipulation cycles""",,"[{""url"": ""https://intranet.cemfi.es/draftfile.php/6534/user/draft/555834092/Manipulation_Cycles_Slides_Remesal_27Nov2017.pdf"", ""label"": ""Slides""}]"
